iter	Passed	Remaining
1414	4649	5208
1415	4652	5204
1416	4655	5200
1417	4657	5196
1418	4660	5192
1419	4662	5187
1420	4664	5183
1421	4667	5179
1422	4670	5175
1423	4672	5171
1424	4675	5167
1425	4677	5163
1426	4680	5158
1427	4682	5155
1428	4685	5151
1429	4687	5146
1430	4690	5142
1431	4692	5138
1432	4695	5134
1433	4697	5130
1434	4700	5126
1435	4703	5122
1436	4705	5118
1437	4707	5113
1438	4710	5109
1439	4713	5105
1440	4715	5101
1441	4718	5097
1442	4720	5093
1443	4722	5089
1444	4725	5085
1445	4727	5081
1446	4730	5077
1447	4733	5072
1448	4735	5068
1449	4738	5064
1450	4740	5060
1451	4742	5056
1452	4745	5052
1453	4748	5048
1454	4750	5044
1455	4753	5040
1456	4755	5036
1457	4758	5032
1458	4760	5028
1459	4763	5024
1460	4765	5020
1461	4768	5016
1462	4770	5012
1463	4773	5008
1464	4776	5004
1465	4778	5000
1466	4781	4996
1467	4783	4992
1468	4786	4988
1469	4788	4984
1470	4791	4980
1471	4793	4976
1472	4796	4972
1473	4798	4968
1474	4801	4964
1475	4803	4960
1476	4806	4956
1477	4809	4952
1478	4811	4948
1479	4814	4944
1480	4816	4940
1481	4819	4936
1482	4821	4931
1483	4823	4928
1484	4826	4923
1485	4828	4919
1486	4831	4916
1487	4834	4912
1488	4836	4908
1489	4839	4904
1490	4841	4900
1491	4844	4896
1492	4847	4892
1493	4848	4887
1494	4850	4883
1495	4853	4879
1496	4856	4875
1497	4858	4871
1498	4861	4867
1499	4864	4864
1500	4867	4860
1501	4869	4856
1502	4872	4852
1503	4874	4849
1504	4877	4845
1505	4880	4841
1506	4883	4838
1507	4886	4834
1508	4890	4832
1509	4893	4829
1510	4896	4825
1511	4899	4821
1512	4901	4817
1513	4904	4813
1514	4906	4809
1515	4909	4805
1516	4911	4801
1517	4914	4797
1518	4917	4794
1519	4919	4790
1520	4921	4786
1521	4924	4782
1522	4927	4778
1523	4929	4774
1524	4932	4770
1525	4934	4766
1526	4937	4762
1527	4939	4758
1528	4942	4754
1529	4944	4750
1530	4947	4746
1531	4949	4743
1532	4952	4739
1533	4955	4735
1534	4957	4731
1535	4960	4727
1536	4962	4723
1537	4965	4720
1538	4968	4716
1539	4970	4712
1540	4973	4708
1541	4975	4704
1542	4978	4700
1543	4980	4696
1544	4983	4692
1545	4985	4688
1546	4988	4685
1547	4990	4681
1548	4993	4677
1549	4996	4673
